Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N1,261272.55310486734,315735.75867907057,P1928,P1929,P1931,Standard Gauge Track,null,0.0,,Points:P1928-P1931/(P1929),,,N1
N6,261292.24219941872,315711.09444782225,P1927,P1928,Standard Gauge Track,null,0.0,,,Signal,P1927,
N11,261411.1757351893,315571.36784713354,P1925,P1926,Standard Gauge Track,null,0.0,,,,,
N14,261433.87354303073,315556.91808231967,P1924,P1925,Standard Gauge Track,null,0.0,,,,,
N35,261604.16720225336,315538.62725619064,P1920,P1921,Standard Gauge Track,null,0.0,,,,,
N40,261738.00103291817,315551.95170652313,P1919,P1920,Standard Gauge Track,null,0.0,,,,,
N41,261767.13103291817,315556.41170652315,P1918,P1919,Standard Gauge Track,null,0.0,,,,,
N47,261381.615009329,315598.4967900798,P1926,P1927,Standard Gauge Track,null,0.0,,,,,
N60,261469.54960265438,315541.99142686883,P1923,P1924,Standard Gauge Track,null,0.0,,,,,
N65,261510.5603005285,315533.5606128015,P1922,P1923,Standard Gauge Track,null,0.0,,,,,
N73,261559.2039545898,315534.29380818305,P1921,P1922,Standard Gauge Track,null,0.0,,,,,
N84,261252.7401684545,315764.7017423363,P1931,P1932,Standard Gauge Track,null,0.0,,,Signal,P1932,
N88,260999.43536009485,316080.73325423617,P1937,P1938,Standard Gauge Track,null,0.0,,,,,
N89,261063.66913782482,315999.5485206312,P1936,P1937,Standard Gauge Track,null,0.0,,,,,
N90,261090.47876217472,315966.4649055407,P1935,P1936,Standard Gauge Track,null,0.0,,,,,
N91,261118.1177744572,315931.05021956575,P1934,P1935,Standard Gauge Track,null,0.0,,,,,
N93,261163.97754493353,315872.3805066205,P1933,P1934,Standard Gauge Track,null,0.0,,,,,BMTH UP
N96,261222.0669265638,315798.53383041953,P1930,P2815,Standard Gauge Track,null,0.0,,,,,
N97,261251.42398961488,315761.8727599715,P1929,P1930,Standard Gauge Track,null,0.0,,,Signal,P1930,
N99,261066.49529297763,316001.3233390784,P1942,P1952,P2841,Standard Gauge Track,null,0.0,,Points:P2841-P1942/(P1952),,,
N109,261093.03705561164,315968.90691291227,P1940,P1941,Standard Gauge Track,null,0.0,,,,,
N111,261164.90271032832,315876.279173782,P1940,P2876,Standard Gauge Track,null,0.0,,,,,
N116,261224.63089028135,315800.731513606,P1932,P1939,Standard Gauge Track,null,0.0,,,,,
N129,261062.89075098094,316011.99652173254,P1957,P1958,Standard Gauge Track,null,0.0,,,,,
N140,261082.30399999997,315991.26800000004,P1956,P1957,Standard Gauge Track,null,0.0,,,,,
N143,261099.02989846058,315972.4354698112,P1956,Standard Gauge Track,null,0.0,,Edge,,,
N144,260494.47834196396,311470.96186529053,P1865,P1866,Standard Gauge Track,null,0.0,,,,,
N145,260503.46000872218,311478.9461119468,P1866,P1867,Standard Gauge Track,null,0.0,,,,,
N147,260563.01796905164,311532.4998919501,P1867,P1868,Standard Gauge Track,null,0.0,,,,,
N150,260629.5449125656,311604.0293936934,P1868,P1869,Standard Gauge Track,null,0.0,,,,,
N152,260669.56488229713,311651.55356076517,P1869,P1870,Standard Gauge Track,null,0.0,,,,,
N154,260714.52386437246,311706.0060707345,P1870,P1871,Standard Gauge Track,null,0.0,,,,,
N156,260749.44978043425,311740.9377744572,P1871,P1872,Standard Gauge Track,null,0.0,,,,,
N158,260788.85605745946,311769.37420204096,P1872,P1873,Standard Gauge Track,null,0.0,,,,,
N159,260817.827218646,311785.8586514538,P1873,P1874,Standard Gauge Track,null,0.0,,,,,
N162,260891.32780830743,311823.35895264323,P1874,P1875,Standard Gauge Track,null,0.0,,,,,
N163,260935.31845058856,311845.85425297316,P1875,P1876,Standard Gauge Track,null,0.0,,,,,
N167,261026.3993841413,311891.9009237881,P1876,P1877,Standard Gauge Track,null,0.0,,,,,
